Animal Products,Cereals - Excluding Beer,Obesity,Vegetal Products
21.6397,8.0353,4.5,28.3684
32.0002,2.6734,22.3,17.9998
14.4175,4.2035,26.6,35.5857
15.3041,6.5545,6.8,34.701
27.7033,3.2153,19.1,22.2995
30.3572,1.3316,28.5,19.6449
29.6642,2.5068,20.9,20.3384
24.1099,0.9908,30.4,25.8901
27.8268,1.2297,21.9,22.1762
32.1198,5.4481,19.9,17.8802
30.2259,3.6327,32.1,19.7741
9.8365,6.9946,3.4,40.1561
25.8451,2.1187,24.8,24.1576
23.8181,4.8075,26.6,26.1859
26.7378,1.3531,24.5,23.2622
23.7877,3.051,22.4,26.2123
6.1742,4.6952,8.2,43.8301
30.4177,2.7296,18.7,19.5779
24.6478,3.6588,19.4,25.3552
16.9634,7.183,16.1,33.0328
24.8515,1.1278,22.3,25.1445
27.1456,1.8485,27.4,22.8518
7.2367,10.5524,4.5,42.7706
21.9578,5.1318,10.6,28.0385
18.851,9.4179,3.5,31.149
6.3264,6.9796,9.5,43.6689
23.1663,1.544,31.3,26.8353
18.5453,2.7645,6.3,31.4598
16.8564,7.986,4.8,33.1436
32.5206,3.1847,28.8,17.4737
31.0465,2.5989,6.6,18.9535
21.4008,1.7347,22.1,28.5992
12.9993,2.7016,8.4,36.9954
20.5571,1.6733,25.7,29.4475
5.3253,4.9709,9,44.6747
29.3768,2.9565,27.1,20.6254
25.9025,4.4779,26.7,24.0975
20.9578,3.4616,22.6,29.0467
25.1685,1.1998,28.5,24.8333
35.4131,1.4741,21.3,14.585
11.1065,4.3977,12.2,38.8977
26.925,1.4913,28.2,23.0812
15.2779,1.4528,26.9,34.7221
20.9283,3.6672,19.3,29.0745
15.9979,13.4988,31.1,34.0109
23.3032,8.1958,22.7,26.6968
33.219,2.8982,23.8,16.7833
20.8055,12.0023,13.5,29.1945
11.1691,11.3929,3.6,38.8216
20.0472,1.5114,30,29.9554
36.725,1.7872,24.9,13.2732
30.2594,1.4334,23.2,19.7406
25.1596,3.7271,0,24.8404
19.2656,4.1074,13.4,30.7344
6.0418,4.9416,8.7,43.9582
25.2749,4.5695,23.3,24.718
28.1419,1.1778,25.7,21.8581
7.6875,5.6789,9.7,42.3063
17.9063,1.328,27.4,32.097
23.0842,1.4883,20.2,26.9158
15.4397,9.3956,18.8,34.5603
6.0747,4.7086,6.6,43.9253
10.8323,2.8828,8.2,39.1677
22.7418,2.9072,19.2,27.2582
12.1462,5.7517,20.5,37.8482
16.7113,8.3159,19.4,33.2924
28.9972,1.2735,28.6,21.0012
34.4402,4.3005,23.1,15.5628
16.0538,5.1196,3.8,33.9462
9.1722,6.6871,6.9,40.8368
16.9273,5.5867,25.5,33.0759
11.1327,6.2761,27.4,38.8673
27.1689,2.7091,26.9,22.8329
15.8138,1.6083,26.7,34.1862
21.8727,1.3598,22.9,28.1306
23.0867,2.2375,24.4,26.9133
19.4516,1.8642,4.4,30.5456
12.2622,3.7391,33.4,37.7378
23.4158,1.7405,21.3,26.5822
17.7332,9.9701,6,32.2724
10.5699,1.956,45.6,39.4325
11.4709,7.2234,7.1,38.516
20.0483,1.8403,4.9,29.9563
19.8923,3.0847,37,30.1101
29.1225,4.0964,15.4,20.8849
21.6306,9.0989,4.5,28.3792
30.439,1.5314,25.7,19.563
12.4024,2.253,31.3,37.5976
12.96,18.3763,13.5,37.0285
7.4228,3.3592,8.6,42.5772
32.3048,1.7819,28.4,17.6975
32.4517,1.8437,24.2,17.5519
19.0932,10.0681,4.5,30.9068
18.8711,13.0891,4.7,31.1236
17.1723,2.2933,15.3,32.8304
29.7398,4.5092,7.9,20.255
17.4631,12.0873,7.1,32.5369
29.3856,4.8786,31,20.6144
17.4021,4.3092,11.3,32.6014
12.8934,3.2471,11.5,37.1041
23.7741,6.4604,28.4,26.2234
36.9018,2.7445,19.6,13.0982
32.7855,3.7312,24.9,17.2163
15.4227,7.1539,25.6,34.5736
11.591,8.8101,6,38.4152
26.047,3.8192,5.7,23.953
16.7373,6.802,15,33.2667
12.1853,7.1664,3.8,37.8147
30.1494,1.2702,23.1,19.8525
22.2697,5.0979,0,27.7282
34.1264,1.3271,32,15.8736
17.9935,9.2369,21.8,32.0104
10.9769,12.436,4.7,39.0279
5.0182,7.1082,7.8,44.9818
19.642,1.9013,23.9,30.3628
